jL,cL,fsourceL,fsinkL,ftypeL,scL,pscL,exmL
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Evapotranspiration-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Irrigation Surface Water Diversions-WY,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Surface Water Diversions-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Diversions-WY,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Land System Outflow-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Crop Consumptive Use-CO
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Inflow-CA,Applied Water-CA,Irrigated Agriculture Depletions-NMOSE
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Agricultural Consumptive Use-WY
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Agricultural Depletions-UT
Bear River,Agricultural Consumptive Use,Zone Groundwater,Atmosphere,NA,Total Surface Water Outflow-CA,Applied Water-CA,Crop Consumptive Use-CO
